# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: America/Indiana/Indianapolis
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 5051
# SQM hardware identity: AB0JPI9S
# SQM firmware version: 4-6-76
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000006,00000076,00005051
# SQM readout test rx: u, 10.85m,0000003865Hz,0000000000c,0000000.000s, 017.7C
# SQM readout test cx: c,00000019.81m,0000146.524s, 018.0C,00000008.71m, 018.6C
# DL time difference (seconds): -666469954
# DL retrieved at (UTC): 2021-02-12T18:42:33.179
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.252
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2000-01-01T00:00:08.000;1999-12-31T19:00:08.000;18.6;5.06;11.28;0
2000-01-01T00:05:02.000;1999-12-31T19:05:02.000;18.6;4.97;8.43;0
2000-01-01T00:06:57.000;1999-12-31T19:06:57.000;19.0;4.97;8.77;0
2000-01-01T00:07:22.000;1999-12-31T19:07:22.000;19.3;4.97;8.00;0
2000-01-01T00:20:33.000;1999-12-31T19:20:33.000;20.6;5.06;10.94;0
2000-01-01T00:27:59.000;1999-12-31T19:27:59.000;19.3;4.97;8.51;0
2000-01-01T01:00:05.000;1999-12-31T20:00:05.000;18.0;4.97;9.56;1
2000-01-01T02:00:05.000;1999-12-31T21:00:05.000;13.8;4.97;11.17;1
2000-01-01T03:00:05.000;1999-12-31T22:00:05.000;6.7;4.97;0.00;1
2000-01-01T04:00:05.000;1999-12-31T23:00:05.000;3.8;4.97;0.00;1
2000-01-01T05:00:05.000;2000-01-01T00:00:05.000;2.5;4.97;0.00;1
2000-01-01T06:00:05.000;2000-01-01T01:00:05.000;0.9;4.97;0.00;1
2000-01-01T07:00:05.000;2000-01-01T02:00:05.000;-0.7;4.97;8.20;1
2000-01-01T08:00:05.000;2000-01-01T03:00:05.000;-1.0;4.97;17.59;1
2000-01-01T09:00:05.000;2000-01-01T04:00:05.000;-1.7;4.97;18.06;1
2000-01-01T10:00:05.000;2000-01-01T05:00:05.000;-3.0;4.97;16.64;1
2000-01-01T11:00:05.000;2000-01-01T06:00:05.000;-3.3;4.97;16.35;1
2000-01-01T12:00:05.000;2000-01-01T07:00:05.000;-2.3;4.97;17.31;1
2000-01-01T13:00:05.000;2000-01-01T08:00:05.000;-3.6;4.97;15.96;1
2000-01-01T14:00:05.000;2000-01-01T09:00:05.000;-4.6;4.97;15.11;1
2000-01-01T15:00:05.000;2000-01-01T10:00:05.000;-3.9;4.97;15.46;1
2000-01-01T16:00:05.000;2000-01-01T11:00:05.000;-3.6;4.97;16.14;1
2000-01-01T17:00:05.000;2000-01-01T12:00:05.000;-3.6;4.97;17.06;1
2000-01-01T18:00:05.000;2000-01-01T13:00:05.000;-3.3;4.97;17.05;1
2000-01-01T19:00:05.000;2000-01-01T14:00:05.000;-3.0;4.97;17.98;1
2000-01-01T20:00:05.000;2000-01-01T15:00:05.000;-1.3;4.97;17.45;1
2000-01-01T21:00:05.000;2000-01-01T16:00:05.000;1.6;4.97;14.24;1
2000-01-01T22:00:05.000;2000-01-01T17:00:05.000;4.1;4.97;6.92;1
2000-01-01T23:00:05.000;2000-01-01T18:00:05.000;4.5;4.97;5.96;1
2000-01-02T00:00:05.000;2000-01-01T19:00:05.000;5.8;4.97;0.00;1
2000-01-02T01:00:05.000;2000-01-01T20:00:05.000;5.1;4.97;0.00;1
2000-01-02T02:00:05.000;2000-01-01T21:00:05.000;6.1;4.97;0.00;1
2000-01-02T03:00:05.000;2000-01-01T22:00:05.000;7.0;4.97;0.00;1
2000-01-02T04:00:05.000;2000-01-01T23:00:05.000;6.4;4.97;0.00;1
