,203,204,205
12/30/2020 17:00,-1,-1,-1
12/30/2020 18:00,-1,-1,-1
12/30/2020 19:00,19.13,19.12,19.02
12/30/2020 20:00,18.07,18.11,17.99
12/30/2020 21:00,18.24,18.25,18.18
12/30/2020 22:00,17.95,17.94,17.83
12/30/2020 23:00,17.47,17.5,17.69
12/31/2020 0:00,17.16,17.27,17.39
12/31/2020 1:00,17.05,17.14,17.24
12/31/2020 2:00,16.61,16.69,16.81
12/31/2020 3:00,16.76,16.83,16.94
12/31/2020 4:00,17.31,17.4,17.53
12/31/2020 5:00,17.03,17.08,17.21
12/31/2020 6:00,17.37,17.44,17.56
12/31/2020 7:00,17.49,17.55,17.64
12/31/2020 8:00,-1,-1,-1
12/31/2020 17:00,-1,-1,-1
12/31/2020 18:00,-1,-1,-1
12/31/2020 19:00,20.25,20.25,20.26
12/31/2020 20:00,18.33,18.39,18.37
12/31/2020 21:00,17.5,17.55,17.54
12/31/2020 22:00,17.09,17.21,17.17
12/31/2020 23:00,16.34,16.56,16.58
1/1/2021 0:00,16.7,16.74,16.75
1/1/2021 1:00,17.16,17.2,17.15
1/1/2021 2:00,17.14,17.18,17.2
1/1/2021 3:00,16.93,16.95,16.95
1/1/2021 4:00,17.41,17.43,17.41
1/1/2021 5:00,17.69,17.72,17.64
1/1/2021 6:00,18.54,18.54,18.5
1/1/2021 7:00,18.06,18.06,18
1/1/2021 8:00,-1,-1,-1
1/1/2021 17:00,-1,-1,-1
1/1/2021 18:00,-1,-1,-1
1/1/2021 19:00,21.21,21.22,21.15
1/1/2021 20:00,21.19,21.27,21.13
1/1/2021 21:00,19.76,19.83,19.71
1/1/2021 22:00,19.12,19.19,19.1
1/1/2021 23:00,17.84,17.93,17.76
1/2/2021 0:00,16.58,16.73,16.64
1/2/2021 1:00,17.59,17.65,17.56
1/2/2021 2:00,17.5,17.56,17.45
1/2/2021 3:00,17.3,17.36,17.23
1/2/2021 4:00,16.98,17.02,16.94
1/2/2021 5:00,17.12,17.19,17.06
1/2/2021 6:00,17.5,17.56,17.43
1/2/2021 7:00,17.93,18,17.86
1/2/2021 8:00,-1,-1,-1
1/2/2021 17:00,-1,-1,-1
1/2/2021 18:00,-1,-1,-1
1/2/2021 19:00,20.36,20.34,20.29
1/2/2021 20:00,20.48,20.48,20.42
1/2/2021 21:00,21.04,21.06,20.98
1/2/2021 22:00,20.03,20.06,19.96
1/2/2021 23:00,18.33,18.39,18.31
1/3/2021 0:00,18.46,18.5,18.41
1/3/2021 1:00,17.41,17.45,17.36
1/3/2021 2:00,18.07,18.11,18.01
1/3/2021 3:00,17.36,17.42,17.32
1/3/2021 4:00,16.54,16.56,16.55
1/3/2021 5:00,16.69,16.73,16.69
1/3/2021 6:00,16.55,16.49,16.51
1/3/2021 7:00,16.9,16.89,16.81
1/3/2021 8:00,-1,-1,-1
1/3/2021 17:00,-1,-1,-1
1/3/2021 18:00,-1,-1,-1
1/3/2021 19:00,-1,-1,-1
1/3/2021 20:00,-1,-1,-1
1/3/2021 21:00,-1,-1,-1
1/3/2021 22:00,-1,-1,-1
1/3/2021 23:00,-1,-1,-1
1/4/2021 0:00,-1,-1,-1
1/4/2021 1:00,-1,-1,-1
1/4/2021 2:00,-1,-1,-1
1/4/2021 3:00,-1,-1,-1
1/4/2021 4:00,-1,-1,-1
1/4/2021 5:00,-1,-1,-1
1/4/2021 6:00,-1,-1,-1
1/4/2021 7:00,-1,-1,-1
1/4/2021 8:00,-1,-1,-1
1/4/2021 17:00,-1,-1,-1
1/4/2021 18:00,-1,-1,-1
1/4/2021 19:00,-1,-1,-1
1/4/2021 20:00,-1,-1,-1
1/4/2021 21:00,-1,-1,-1
1/4/2021 22:00,-1,-1,-1
1/4/2021 23:00,-1,-1,-1
1/5/2021 0:00,-1,-1,-1
1/5/2021 1:00,-1,-1,-1
1/5/2021 2:00,-1,-1,-1
1/5/2021 3:00,-1,-1,-1
1/5/2021 4:00,-1,-1,-1
1/5/2021 5:00,-1,-1,-1
1/5/2021 6:00,-1,-1,-1
1/5/2021 7:00,-1,-1,-1
1/5/2021 8:00,-1,-1,-1
1/5/2021 17:00,-1,-1,-1
1/5/2021 18:00,-1,-1,-1
1/5/2021 19:00,-1,-1,-1
1/5/2021 20:00,-1,-1,-1
1/5/2021 21:00,-1,-1,-1
1/5/2021 22:00,-1,-1,-1
1/5/2021 23:00,-1,-1,-1
1/6/2021 0:00,-1,-1,-1
1/6/2021 1:00,-1,-1,-1
1/6/2021 2:00,-1,-1,-1
1/6/2021 3:00,-1,-1,-1
1/6/2021 4:00,-1,-1,-1
1/6/2021 5:00,-1,-1,-1
1/6/2021 6:00,-1,-1,-1
1/6/2021 7:00,-1,-1,-1
1/6/2021 8:00,-1,-1,-1
1/6/2021 17:00,-1,-1,-1
1/6/2021 18:00,-1,-1,-1
1/6/2021 19:00,-1,-1,-1
1/6/2021 20:00,-1,-1,-1
1/6/2021 21:00,-1,-1,-1
1/6/2021 22:00,-1,-1,-1
1/6/2021 23:00,-1,-1,-1
1/7/2021 0:00,-1,-1,-1
1/7/2021 1:00,-1,-1,-1
1/7/2021 2:00,-1,-1,-1
1/7/2021 3:00,-1,-1,-1
1/7/2021 4:00,-1,-1,-1
1/7/2021 5:00,-1,-1,-1
1/7/2021 6:00,-1,-1,-1
1/7/2021 7:00,-1,-1,-1
1/7/2021 8:00,-1,-1,-1
