DAC,316,1k,10k,46.4k
200,19.56,23.21,19.56,19.56
300,20.17,22.39,19.56,19.56
400,19.6,21.75,19.56,19.56
500,19.16,21.38,19.53,19.56
600,18.77,21.02,27.15,19.56
700,18.48,20.7,26.14,19.56
800,18.23,20.44,25.57,19.56
900,17.98,19.8,24.9,19.56
1000,17.77,19.85,24.25,19.56
1100,17.59,19.66,22.97,19.56
1200,17.42,19.61,20.28,19.56
1300,17.25,19.47,24.18,19.56
1400,17.13,19.31,24,19.56
1500,17,19.18,23.17,19.56
1600,20.08,19.05,21.26,19.56
1700,16.76,18.92,21.09,19.56
1800,20.61,18.81,21.95,19.56
1900,16.53,18.68,21.79,19.56
2000,16.43,18.6,21.89,19.56
2100,16.34,16.37,20.29,19.56
2200,16.28,18.41,21.28,19.56
2300,16.19,18.33,22.84,19.54
2400,16.11,18.24,22.47,19.5
2500,16.03,18.16,21.97,29.33
2600,15.99,15.96,22.68,28.09
2700,15.91,17.99,18.81,27.49
2800,15.82,17.62,20.78,27.1
2900,15.75,15.78,22.27,26.8
3000,15.71,15.71,22.39,26.55
3100,15.64,17.74,21.36,26.39
3200,15.6,17.55,20.84,26.21
3300,15.55,17.62,22.06,26.06
3400,15.49,16.09,21.32,25.91
3500,15.45,17.19,22.08,25.79
3600,15.41,17.2,22.02,25.69
3700,15.36,17.4,21.74,25.57
3800,15.31,17.35,21.29,25.47
3900,15.27,17.27,21.44,25.38
4000,15.23,15.77,21.81,25.31
