200,1175048,7686796,55057973,61771708,2.55,16.68,119.48,134.05
300,575511,4053931,49298660,61197216,1.25,8.80,106.98,132.81
400,338779,2511575,43309076,60342357,0.73,5.45,93.99,130.95
500,224297,1711717,37770752,59860525,0.49,3.71,81.97,129.91
600,162230,1243662,33168439,59017957,0.35,2.70,71.98,128.08
700,122942,944314,29045139,57987385,0.27,2.05,63.03,125.84
800,97626,738013,25464778,56740839,0.21,1.60,55.26,123.14
900,79313,592953,22452245,55674429,0.17,1.29,48.72,120.82
1000,63925,492211,19913407,54283977,0.14,1.07,43.22,117.80
1100,54185,414469,17714437,53142931,0.12,0.90,38.44,115.33
1200,46822,352940,15877972,51821527,0.10,0.77,34.46,112.46
1300,39938,300651,14268523,50428996,0.09,0.65,30.96,109.44
1400,34697,267739,12903523,48960783,0.07,0.58,28.00,106.25
1500,31158,236477,11755790,47897930,0.07,0.51,25.51,103.94
1600,28348,207354,10679262,46482745,0.06,0.45,23.18,100.87
1700,25394,184654,9783702,45320803,0.06,0.40,21.23,98.35
1800,22813,164094,8994445,43861906,0.05,0.36,19.52,95.19
1900,20377,148457,8287798,43043707,0.04,0.32,17.99,93.41
2000,19216,137876,7662461,41552949,0.04,0.30,16.63,90.18
2100,17226,124802,7111897,40537857,0.04,0.27,15.43,87.97
2200,16075,115527,6619768,39333321,0.04,0.25,14.37,85.36
2300,14994,106900,6158300,38358404,0.03,0.23,13.36,83.24
2400,13752,98823,5766934,37099478,0.03,0.21,12.52,80.51
2500,12917,91626,5400708,36155498,0.03,0.20,11.72,78.46
2600,12325,85021,5059470,35010448,0.03,0.18,10.98,75.98
2700,11318,80206,4767230,33958073,0.03,0.17,10.35,73.69
2800,10635,75432,4501238,33029588,0.02,0.16,9.77,71.68
2900,10393,69678,4239853,32089380,0.02,0.15,9.20,69.64
3000,9517,64422,4008116,31214911,0.02,0.14,8.70,67.74
3100,9105,61768,3786542,30376637,0.02,0.13,8.22,65.92
3200,8653,59351,3601826,29391913,0.02,0.13,7.82,63.78
3300,8314,54816,3408876,28639765,0.02,0.12,7.40,62.15
3400,7918,52053,3248547,27828491,0.02,0.11,7.05,60.39
3500,7553,50741,3094611,27088226,0.02,0.11,6.72,58.78
3600,7208,46876,2947936,26305944,0.02,0.10,6.40,57.09
3700,6947,45330,2817583,25583392,0.01,0.10,6.12,55.52
3800,6684,43641,2686888,24876899,0.01,0.10,5.83,53.99
3900,6370,41853,2572456,24229908,0.01,0.09,5.58,52.58
4000,6073,39288,2464405,23589020,0.01,0.09,5.35,51.19
